locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAMBLCDF_07050	CDS	2511	fadN	1.1.1.35	COG1024	putative 3-hydroxyacyl-CoA dehydrogenase
MAMBLCDF_07051	CDS	498				hypothetical protein
MAMBLCDF_07052	CDS	1266				hypothetical protein
MAMBLCDF_07053	CDS	2112	btuB_8			Vitamin B12 transporter BtuB
MAMBLCDF_07054	CDS	2124	cntO_9			Metal-pseudopaline receptor CntO
MAMBLCDF_07055	CDS	1305	apeB	3.4.11.-	COG1362	putative M18 family aminopeptidase 2
MAMBLCDF_07056	CDS	279				hypothetical protein
MAMBLCDF_07057	CDS	2553	btuB_9			Vitamin B12 transporter BtuB
MAMBLCDF_07058	CDS	1242				hypothetical protein
MAMBLCDF_07059	CDS	1320	smc_6			Chromosome partition protein Smc
MAMBLCDF_07060	CDS	1713				hypothetical protein
MAMBLCDF_07061	CDS	2094	hxuC		COG1629	Heme/hemopexin utilization protein C
MAMBLCDF_07062	CDS	198				hypothetical protein
MAMBLCDF_07063	CDS	744				hypothetical protein
MAMBLCDF_07064	CDS	996				hypothetical protein
MAMBLCDF_07065	CDS	918	dmlR_8			HTH-type transcriptional regulator DmlR
MAMBLCDF_07066	CDS	867				hypothetical protein
MAMBLCDF_07067	CDS	381	yqjF_2		COG2259	Inner membrane protein YqjF
MAMBLCDF_07068	CDS	2334	fadE	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
MAMBLCDF_07069	CDS	1839		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
MAMBLCDF_07070	CDS	279				hypothetical protein
MAMBLCDF_07071	CDS	597				hypothetical protein
MAMBLCDF_07072	CDS	2181				hypothetical protein
MAMBLCDF_07073	CDS	1149				hypothetical protein
MAMBLCDF_07074	CDS	453	fliJ		COG2882	Flagellar FliJ protein
MAMBLCDF_07075	CDS	1437	fliI	7.1.2.2	COG1157	Flagellum-specific ATP synthase
MAMBLCDF_07076	CDS	720				hypothetical protein
MAMBLCDF_07077	CDS	996	fliG_2		COG1536	Flagellar motor switch protein FliG
MAMBLCDF_07078	CDS	1647	fliF_2		COG1766	Flagellar M-ring protein
MAMBLCDF_07079	CDS	1236	sasA_21	2.7.-.-		Adaptive-response sensory-kinase SasA
MAMBLCDF_07080	CDS	1311	atoC_7		COG2204	Regulatory protein AtoC
MAMBLCDF_07081	CDS	330	fliE_2		COG1677	Flagellar hook-basal body complex protein FliE
MAMBLCDF_07082	CDS	798	ycgR			Flagellar brake protein YcgR
MAMBLCDF_07083	CDS	360				hypothetical protein
MAMBLCDF_07084	CDS	1029				hypothetical protein
MAMBLCDF_07085	CDS	1623				hypothetical protein
MAMBLCDF_07086	CDS	2886				hypothetical protein
MAMBLCDF_07087	CDS	435				hypothetical protein
MAMBLCDF_07088	CDS	1437	gatB_2	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
MAMBLCDF_07089	CDS	1461	gatA_4	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
MAMBLCDF_07090	CDS	288	gatC_2	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
MAMBLCDF_07091	CDS	1062	mreB		COG1077	Cell shape-determining protein MreB
MAMBLCDF_07092	CDS	918	mreC		COG1792	Cell shape-determining protein MreC
MAMBLCDF_07093	CDS	552	mreD		COG2891	Rod shape-determining protein MreD
MAMBLCDF_07094	CDS	1878	mrdA_2	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
MAMBLCDF_07095	CDS	1110	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
MAMBLCDF_07096	CDS	921	rlpA_2	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
MAMBLCDF_07097	CDS	2229	wzc	2.7.10.-	COG0489	Tyrosine-protein kinase wzc
MAMBLCDF_07098	CDS	1218				hypothetical protein
MAMBLCDF_07099	CDS	1008	wbgU_2	5.1.3.7		UDP-N-acetylglucosamine 4-epimerase
MAMBLCDF_07100	CDS	1275	wbpA_2	1.1.1.136	COG0677	UDP-N-acetyl-D-glucosamine 6-dehydrogenase
MAMBLCDF_07101	CDS	1152				hypothetical protein
MAMBLCDF_07102	CDS	1035	purD_2	6.3.4.13		Phosphoribosylamine--glycine ligase
MAMBLCDF_07103	CDS	1101	pglJ	2.4.1.291	COG0438	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
MAMBLCDF_07104	CDS	993				hypothetical protein
MAMBLCDF_07105	CDS	1122	epsF_2	2.4.-.-	COG0438	Putative glycosyltransferase EpsF
MAMBLCDF_07106	CDS	1098	pglA	2.4.1.290		N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase
MAMBLCDF_07107	CDS	1488	glgA1	2.4.1.21	COG0297	Glycogen synthase 1
MAMBLCDF_07108	CDS	1635	pgi_2	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
MAMBLCDF_07109	CDS	1179	bktB_2	2.3.1.16	COG0183	Beta-ketothiolase BktB
MAMBLCDF_07110	CDS	1332	hslU_2		COG1220	ATP-dependent protease ATPase subunit HslU
MAMBLCDF_07111	CDS	480	hslV_2	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
MAMBLCDF_07112	CDS	705	hchA	3.1.2.-	COG0693	Protein/nucleic acid deglycase 1
MAMBLCDF_07113	CDS	456				hypothetical protein
MAMBLCDF_07114	CDS	702	tam_7	2.1.1.144		Trans-aconitate 2-methyltransferase
MAMBLCDF_07115	CDS	414				hypothetical protein
MAMBLCDF_07116	CDS	204	rpoZ_2	2.7.7.6		DNA-directed RNA polymerase subunit omega
MAMBLCDF_07117	CDS	483				hypothetical protein
MAMBLCDF_07118	tRNA	77				tRNA-Val(gac)
MAMBLCDF_07119	CDS	459	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
MAMBLCDF_07120	CDS	1782	aspS_2	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
MAMBLCDF_07121	CDS	339				hypothetical protein
MAMBLCDF_07122	CDS	1452	algA_2		COG0662	Alginate biosynthesis protein AlgA
MAMBLCDF_07123	CDS	1110	wbpI_3	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
MAMBLCDF_07124	CDS	486				hypothetical protein
MAMBLCDF_07125	CDS	612				hypothetical protein
MAMBLCDF_07126	CDS	339				hypothetical protein
MAMBLCDF_07127	CDS	627	btuR	2.5.1.17	COG2109	Corrinoid adenosyltransferase
MAMBLCDF_07128	CDS	582				hypothetical protein
MAMBLCDF_07129	CDS	1839	btuB_10		COG4206	Vitamin B12 transporter BtuB
MAMBLCDF_07130	CDS	777	tatC_2		COG0805	Sec-independent protein translocase protein TatC
MAMBLCDF_07131	CDS	396	tatB_2			Sec-independent protein translocase protein TatB
MAMBLCDF_07132	CDS	231	tatA_2		COG1826	Sec-independent protein translocase protein TatA
MAMBLCDF_07133	CDS	339	hisE_2	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
MAMBLCDF_07134	CDS	390	hisI_2	3.5.4.19		Phosphoribosyl-AMP cyclohydrolase
MAMBLCDF_07135	CDS	777	hisF_2	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
MAMBLCDF_07136	CDS	750	hisA_2	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
MAMBLCDF_07137	CDS	639	hisH_2	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
MAMBLCDF_07138	CDS	594	hisB_3		COG0131	Histidine biosynthesis bifunctional protein HisB
MAMBLCDF_07139	CDS	1080	hisC2	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase 2
MAMBLCDF_07140	CDS	294				hypothetical protein
MAMBLCDF_07141	CDS	972	ispH_2	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
MAMBLCDF_07142	CDS	1107	thiO	1.4.3.19		Glycine oxidase
MAMBLCDF_07143	CDS	444	aroQ_4	4.2.1.10		3-dehydroquinate dehydratase
MAMBLCDF_07144	CDS	459	accB_1		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
MAMBLCDF_07145	CDS	1359	accC_1	6.3.4.14	COG0439	Biotin carboxylase
MAMBLCDF_07146	CDS	942	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
MAMBLCDF_07147	CDS	753				hypothetical protein
MAMBLCDF_07148	CDS	1347	amiC_2	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
MAMBLCDF_07149	CDS	477	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
MAMBLCDF_07150	CDS	699	hcaB_7	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
MAMBLCDF_07151	CDS	1164	metK_2	2.5.1.6		S-adenosylmethionine synthase
MAMBLCDF_07152	CDS	1437	ahcY_2	3.3.1.1		Adenosylhomocysteinase
MAMBLCDF_07153	CDS	846	metF_2	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
MAMBLCDF_07154	CDS	960				hypothetical protein
MAMBLCDF_07155	CDS	252				hypothetical protein
MAMBLCDF_07156	CDS	810				hypothetical protein
MAMBLCDF_07157	CDS	150				hypothetical protein
MAMBLCDF_07158	CDS	405				hypothetical protein
MAMBLCDF_07159	CDS	1095	takP_6		COG4663	Alpha-keto acid-binding periplasmic protein TakP
MAMBLCDF_07160	CDS	1086	takP_7		COG4663	Alpha-keto acid-binding periplasmic protein TakP
MAMBLCDF_07161	CDS	1179	speB_4	3.5.3.11		Agmatinase
MAMBLCDF_07162	CDS	1233	ydhP_2		COG2814	Inner membrane transport protein YdhP
MAMBLCDF_07163	CDS	600				hypothetical protein
MAMBLCDF_07164	CDS	216				hypothetical protein
MAMBLCDF_07165	CDS	774	occT			Octopine-binding periplasmic protein
MAMBLCDF_07166	CDS	711	hisQ		COG4215	Histidine transport system permease protein HisQ
MAMBLCDF_07167	CDS	717	occM_2			Octopine transport system permease protein OccM
MAMBLCDF_07168	CDS	255	parD4		COG3609	Antitoxin ParD4
MAMBLCDF_07169	CDS	288	parE4_1		COG3668	Toxin ParE4
MAMBLCDF_07170	CDS	753	mapB	3.4.11.18	COG0024	Methionine aminopeptidase 2
MAMBLCDF_07171	CDS	867	glxR_4	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
MAMBLCDF_07172	CDS	642				hypothetical protein
MAMBLCDF_07173	CDS	465				hypothetical protein
MAMBLCDF_07174	CDS	465				hypothetical protein
MAMBLCDF_07175	CDS	612	fzlA_2			FtsZ-localized protein A
MAMBLCDF_07176	CDS	924				hypothetical protein
MAMBLCDF_07177	CDS	552				hypothetical protein
MAMBLCDF_07178	CDS	1521	rcsC_11	2.7.13.3		Sensor histidine kinase RcsC
MAMBLCDF_07179	CDS	1023	cobU	2.4.2.21		Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
MAMBLCDF_07180	CDS	846	cobV	2.7.8.26		Adenosylcobinamide-GDP ribazoletransferase
MAMBLCDF_07181	CDS	213				hypothetical protein
MAMBLCDF_07182	CDS	468				hypothetical protein
MAMBLCDF_07183	CDS	834				hypothetical protein
MAMBLCDF_07184	CDS	477	menI_2	3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
MAMBLCDF_07185	CDS	1002	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
MAMBLCDF_07186	CDS	1062				hypothetical protein
MAMBLCDF_07187	CDS	1371				hypothetical protein
MAMBLCDF_07188	CDS	513				hypothetical protein
MAMBLCDF_07189	CDS	312				hypothetical protein
MAMBLCDF_07190	CDS	831				IS3 family transposase ISMex7
MAMBLCDF_07191	CDS	315	tfdS			HTH-type transcriptional regulator TfdS
MAMBLCDF_07192	CDS	1482	tgnC_3	1.2.1.-	COG1012	(Z)-2-((N-methylformamido)methylene)-5-hydroxybutyrolactone dehydrogenase
MAMBLCDF_07193	CDS	957				hypothetical protein
MAMBLCDF_07194	CDS	1731	ilvD_2	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
MAMBLCDF_07195	CDS	1014	futA1			Iron uptake protein A1
MAMBLCDF_07196	CDS	1695				hypothetical protein
MAMBLCDF_07197	CDS	1749				hypothetical protein
MAMBLCDF_07198	CDS	2796	gyrA_2	5.6.2.2	COG0188	DNA gyrase subunit A
MAMBLCDF_07199	CDS	633				hypothetical protein
MAMBLCDF_07200	CDS	1179	metXA_4	2.3.1.31	COG2021	Homoserine O-acetyltransferase
MAMBLCDF_07201	CDS	1116	cpg2_2	3.4.17.11		Carboxypeptidase G2
MAMBLCDF_07202	CDS	639				hypothetical protein
MAMBLCDF_07203	CDS	552	ssb_2		COG0629	Single-stranded DNA-binding protein
MAMBLCDF_07204	CDS	303				hypothetical protein
MAMBLCDF_07205	CDS	210				hypothetical protein
MAMBLCDF_07206	CDS	1146				hypothetical protein
MAMBLCDF_07207	CDS	705				hypothetical protein
MAMBLCDF_07208	CDS	1284	aroA_2	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
MAMBLCDF_07209	CDS	300				hypothetical protein
MAMBLCDF_07210	CDS	873	ousW		COG4176	Glycine betaine/choline transport system permease protein OusW
MAMBLCDF_07211	CDS	996				hypothetical protein
MAMBLCDF_07212	CDS	885	cmpR_3			HTH-type transcriptional activator CmpR
MAMBLCDF_07213	CDS	795				hypothetical protein
MAMBLCDF_07214	CDS	1200				hypothetical protein
MAMBLCDF_07215	CDS	3030	uvrA_2		COG0178	UvrABC system protein A
MAMBLCDF_07216	CDS	378				hypothetical protein
MAMBLCDF_07217	CDS	1299	katG2	1.11.1.21	COG0376	Catalase-peroxidase 2
MAMBLCDF_07218	CDS	888	sucD_3	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
MAMBLCDF_07219	CDS	1173	sucC_3	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
MAMBLCDF_07220	CDS	951	mcl1_2	4.1.3.24	COG2301	L-malyl-CoA/beta-methylmalyl-CoA lyase
MAMBLCDF_07221	tRNA	93				tRNA-Ser(cga)
MAMBLCDF_07222	CDS	1350	radA_3	3.6.4.-	COG1066	DNA repair protein RadA
MAMBLCDF_07223	CDS	1374	rhlE_5	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
MAMBLCDF_07224	CDS	1668	ettA_2		COG0488	Energy-dependent translational throttle protein EttA
MAMBLCDF_07225	CDS	618				hypothetical protein
MAMBLCDF_07226	CDS	1551	smc_7			Chromosome partition protein Smc
MAMBLCDF_07227	CDS	936				Iron-sulfur cluster carrier protein
MAMBLCDF_07228	CDS	1575				hypothetical protein
MAMBLCDF_07229	CDS	834				hypothetical protein
MAMBLCDF_07230	CDS	849				hypothetical protein
MAMBLCDF_07231	CDS	723				hypothetical protein
MAMBLCDF_07232	CDS	1197				hypothetical protein
MAMBLCDF_07233	CDS	1536				hypothetical protein
MAMBLCDF_07234	CDS	1164	mshA_16	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
MAMBLCDF_07235	CDS	1935	asnB_6	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
MAMBLCDF_07236	CDS	993				hypothetical protein
MAMBLCDF_07237	CDS	939				hypothetical protein
MAMBLCDF_07238	CDS	1233				hypothetical protein
MAMBLCDF_07239	CDS	753				hypothetical protein
MAMBLCDF_07240	CDS	1065				hypothetical protein
MAMBLCDF_07241	tRNA	77				tRNA-Pro(tgg)
MAMBLCDF_07242	tRNA	77				tRNA-Arg(tct)
MAMBLCDF_07243	tRNA	76				tRNA-His(gtg)
MAMBLCDF_07244	CDS	1794	ggt_3	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
MAMBLCDF_07245	CDS	2376				hypothetical protein
MAMBLCDF_07246	CDS	2790	glnE_2		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
MAMBLCDF_07247	CDS	150				hypothetical protein
MAMBLCDF_07248	CDS	3813				hypothetical protein
MAMBLCDF_07249	CDS	210				hypothetical protein
MAMBLCDF_07250	CDS	864	nit1_2	3.5.1.128		Deaminated glutathione amidase
MAMBLCDF_07251	CDS	1452	tldD	3.4.-.-	COG0312	Metalloprotease TldD
MAMBLCDF_07252	CDS	1704	ilvI_2	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
MAMBLCDF_07253	CDS	468	ilvH_2	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
MAMBLCDF_07254	CDS	1017	ilvC_2	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
MAMBLCDF_07255	CDS	651	psd_3	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
MAMBLCDF_07256	CDS	780				hypothetical protein
MAMBLCDF_07257	CDS	1533	leuA_2	2.3.3.13	COG0119	2-isopropylmalate synthase
MAMBLCDF_07258	CDS	462	resA_6			Thiol-disulfide oxidoreductase ResA
MAMBLCDF_07259	CDS	462	mltC_2	4.2.2.-		Membrane-bound lytic murein transglycosylase C
MAMBLCDF_07260	CDS	1707	proS_2	6.1.1.15	COG0442	Proline--tRNA ligase
MAMBLCDF_07261	CDS	417	rppH_4	3.6.1.-	COG0494	RNA pyrophosphohydrolase
MAMBLCDF_07262	CDS	1005	ccp_2	1.11.1.5	COG1858	Cytochrome c551 peroxidase
MAMBLCDF_07263	CDS	1299	regB_2	2.7.13.3		Sensor histidine kinase RegB
MAMBLCDF_07264	CDS	546	regA_3		COG4567	Photosynthetic apparatus regulatory protein RegA
MAMBLCDF_07265	CDS	627	rpsD_3		COG0522	30S ribosomal protein S4
MAMBLCDF_07266	CDS	936	rpoA_1	2.7.7.6		DNA-directed RNA polymerase subunit alpha
MAMBLCDF_07267	tRNA	76				tRNA-Thr(cgt)
MAMBLCDF_07268	CDS	210	pasI		COG2914	Persistence and stress-resistance antitoxin PasI
MAMBLCDF_07269	CDS	330	pasT		COG2867	Persistence and stress-resistance toxin PasT
MAMBLCDF_07270	CDS	456	smpB_2		COG0691	SsrA-binding protein
MAMBLCDF_07271	CDS	1071	ctaA_2	1.3.-.-	COG1612	Heme A synthase
MAMBLCDF_07272	CDS	414				hypothetical protein
MAMBLCDF_07273	CDS	1482	ruvB_3	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
MAMBLCDF_07274	CDS	324	ybaB		COG0718	Nucleoid-associated protein YbaB
MAMBLCDF_07275	CDS	879	rluB_2	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
MAMBLCDF_07276	CDS	939	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
MAMBLCDF_07277	CDS	453	tadA_3	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
MAMBLCDF_07278	CDS	483				hypothetical protein
MAMBLCDF_07279	CDS	1683	maeA	1.1.1.38	COG0281	NAD-dependent malic enzyme
MAMBLCDF_07280	CDS	831	mtnX	3.1.3.87		2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase
MAMBLCDF_07281	CDS	1476				hypothetical protein
MAMBLCDF_07282	CDS	1494	pepA_5	3.4.11.1	COG0260	Cytosol aminopeptidase
MAMBLCDF_07283	CDS	144				hypothetical protein
MAMBLCDF_07284	CDS	411				hypothetical protein
MAMBLCDF_07285	CDS	708				hypothetical protein
MAMBLCDF_07286	CDS	1263	valS_2	6.1.1.9	COG0525	Valine--tRNA ligase
MAMBLCDF_07287	CDS	1077	hemE_2	4.1.1.37		Uroporphyrinogen decarboxylase
MAMBLCDF_07288	CDS	486				hypothetical protein
MAMBLCDF_07289	CDS	1278				hypothetical protein
MAMBLCDF_07290	CDS	684				hypothetical protein
MAMBLCDF_07291	CDS	813	murI_2	5.1.1.3	COG0796	Glutamate racemase
MAMBLCDF_07292	CDS	972	xerD_5		COG4974	Tyrosine recombinase XerD
MAMBLCDF_07293	CDS	357				hypothetical protein
MAMBLCDF_07294	CDS	720				hypothetical protein
MAMBLCDF_07295	CDS	2331				hypothetical protein
MAMBLCDF_07296	CDS	660				hypothetical protein
MAMBLCDF_07297	CDS	729				hypothetical protein
MAMBLCDF_07298	CDS	1518	potE			Putrescine transporter PotE
MAMBLCDF_07299	CDS	3636	carB_4			Carbamoyl-phosphate synthase large chain
MAMBLCDF_07300	CDS	1218	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
MAMBLCDF_07301	CDS	1173				hypothetical protein
MAMBLCDF_07302	CDS	3393	smc_8			Chromosome partition protein Smc
MAMBLCDF_07303	CDS	672				hypothetical protein
MAMBLCDF_07304	CDS	1464				putative protein/MSMEI_1241
MAMBLCDF_07305	CDS	1149	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
MAMBLCDF_07306	CDS	2868				hypothetical protein
MAMBLCDF_07307	CDS	3435	aas_2	6.2.1.20		Bifunctional protein Aas
MAMBLCDF_07308	CDS	201				hypothetical protein
MAMBLCDF_07309	CDS	198				hypothetical protein
MAMBLCDF_07310	CDS	585				hypothetical protein
MAMBLCDF_07311	CDS	1389				hypothetical protein
MAMBLCDF_07312	CDS	534				hypothetical protein
MAMBLCDF_07313	CDS	249				hypothetical protein
MAMBLCDF_07314	CDS	438	ribD_2		COG0117	Riboflavin biosynthesis protein RibD
MAMBLCDF_07315	CDS	1218	mshA_17	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
MAMBLCDF_07316	CDS	1026	tuaC	2.4.-.-	COG0438	Putative teichuronic acid biosynthesis glycosyltransferase TuaC
MAMBLCDF_07317	CDS	1356				hypothetical protein
MAMBLCDF_07318	CDS	621				hypothetical protein
MAMBLCDF_07319	CDS	477				hypothetical protein
MAMBLCDF_07320	CDS	1158	yghO			Protein YghO
MAMBLCDF_07321	CDS	819	ispD_2	2.7.7.60		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
MAMBLCDF_07322	CDS	1077	lptF		COG0795	Lipopolysaccharide export system permease protein LptF
MAMBLCDF_07323	CDS	1068	lptG_2		COG0795	Lipopolysaccharide export system permease protein LptG
MAMBLCDF_07324	CDS	1230				hypothetical protein
MAMBLCDF_07325	CDS	966	yegS_3	2.7.1.-		lipid kinase YegS
MAMBLCDF_07326	CDS	966				hypothetical protein
MAMBLCDF_07327	CDS	648				hypothetical protein
MAMBLCDF_07328	CDS	2730	secA_2		COG0653	Protein translocase subunit SecA
MAMBLCDF_07329	CDS	606	petA_2	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
MAMBLCDF_07330	CDS	1248	petB		COG1290	Cytochrome b
MAMBLCDF_07331	CDS	705	petC		COG2857	Ammonia monooxygenase gamma subunit
MAMBLCDF_07332	CDS	213				hypothetical protein
MAMBLCDF_07333	tRNA	76				tRNA-Thr(tgt)
MAMBLCDF_07334	CDS	1716				hypothetical protein
MAMBLCDF_07335	CDS	1170				hypothetical protein
MAMBLCDF_07336	CDS	585				hypothetical protein
MAMBLCDF_07337	CDS	864				hypothetical protein
MAMBLCDF_07338	CDS	234				hypothetical protein
MAMBLCDF_07339	CDS	2142				hypothetical protein
MAMBLCDF_07340	CDS	2589				hypothetical protein
MAMBLCDF_07341	CDS	1077				hypothetical protein
MAMBLCDF_07342	CDS	1761				hypothetical protein
MAMBLCDF_07343	CDS	1053				hypothetical protein
MAMBLCDF_07344	CDS	1206	intA_2		COG0582	Prophage integrase IntA
MAMBLCDF_07345	CDS	1356	mnmE_2	3.6.-.-	COG0486	tRNA modification GTPase MnmE
MAMBLCDF_07346	CDS	1845	yidC_2		COG0706	Membrane protein insertase YidC
MAMBLCDF_07347	CDS	462				hypothetical protein
MAMBLCDF_07348	CDS	813	proC_3	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
MAMBLCDF_07349	CDS	561				hypothetical protein
MAMBLCDF_07350	CDS	303				hypothetical protein
MAMBLCDF_07351	CDS	1083				hypothetical protein
MAMBLCDF_07352	CDS	915		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
MAMBLCDF_07353	CDS	1491	zwf_2	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
MAMBLCDF_07354	tRNA	85				tRNA-Tyr(gta)
MAMBLCDF_07355	tRNA	74				tRNA-Gly(tcc)
MAMBLCDF_07356	tRNA	75				tRNA-Thr(ggt)
MAMBLCDF_07357	CDS	1272	cysNC		COG0529	Bifunctional enzyme CysN/CysC
MAMBLCDF_07358	CDS	3447	pyrK_2			Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
MAMBLCDF_07359	CDS	1128	pntAA_2	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha part 1
MAMBLCDF_07360	CDS	309	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
MAMBLCDF_07361	CDS	177				hypothetical protein
MAMBLCDF_07362	CDS	798				hypothetical protein
MAMBLCDF_07363	CDS	465	bfr_2	1.16.3.1	COG2193	Bacterioferritin
MAMBLCDF_07364	CDS	1032	apgM			2,3-bisphosphoglycerate-independent phosphoglycerate mutase
MAMBLCDF_07365	CDS	1530				hypothetical protein
MAMBLCDF_07366	CDS	888	purC_3	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
MAMBLCDF_07367	CDS	1131	purK_2	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
MAMBLCDF_07368	CDS	432	tolR			Tol-Pal system protein TolR
MAMBLCDF_07369	CDS	639	sodB_2	1.15.1.1		Superoxide dismutase [Fe]
MAMBLCDF_07370	CDS	651	hisG_2	2.4.2.17	COG0040	ATP phosphoribosyltransferase
MAMBLCDF_07371	CDS	1299	hisD_2	1.1.1.23	COG0141	Histidinol dehydrogenase
MAMBLCDF_07372	CDS	1194	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
MAMBLCDF_07373	CDS	1014	dusB_2	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
MAMBLCDF_07374	CDS	243	fis_2		COG2901	DNA-binding protein Fis
MAMBLCDF_07375	CDS	1563	purH_2		COG0138	Bifunctional purine biosynthesis protein PurH
MAMBLCDF_07376	CDS	1317	purD_3	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
MAMBLCDF_07377	CDS	306				hypothetical protein
MAMBLCDF_07378	CDS	1269				hypothetical protein
MAMBLCDF_07379	CDS	549	yoaA	3.6.4.12	COG1199	putative ATP-dependent DNA helicase YoaA
MAMBLCDF_07380	CDS	339	yqaA_2		COG1238	Inner membrane protein YqaA
MAMBLCDF_07381	CDS	309	grxD_2		COG0278	Glutaredoxin 4
MAMBLCDF_07382	CDS	369	prmC_5	2.1.1.297	COG2890	Release factor glutamine methyltransferase
MAMBLCDF_07383	CDS	1080	prfA_2		COG0216	Peptide chain release factor RF1
MAMBLCDF_07384	CDS	1251	hemA_3	1.2.1.70	COG0373	Glutamyl-tRNA reductase
MAMBLCDF_07385	CDS	969	ispB_2	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
MAMBLCDF_07386	tRNA	77				tRNA-Pro(cgg)
MAMBLCDF_07387	CDS	426				hypothetical protein
MAMBLCDF_07388	CDS	396	cheY_5		COG0784	Chemotaxis protein CheY
MAMBLCDF_07389	CDS	639	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
MAMBLCDF_07390	CDS	228				hypothetical protein
